,emphasized,actual,sentiment
0,lllllllllike,like,1
1,likeeeeeee,like,1
2,liiiiiiiiiiike,like,1
3,likkkkkkkkkkkkke,like,1
4,likkkkkkke,like,1
5,liiiiiiiiiike,like,1
6,lllllllllllllllike,like,1
7,lllike,like,1
8,liiiiiiiike,like,1
9,llllllllike,like,1
10,likeeeeeeeeeeeeee,like,1
11,likeeeeeee,like,1
12,lllllllike,like,1
13,lllllllllllllllike,like,1
14,liiiike,like,1
15,likkkkkkke,like,1
16,likee,like,1
17,likeeeee,like,1
18,likee,like,1
19,lllllllike,like,1
20,likeeeeeeeeeeeee,like,1
21,likee,like,1
22,likkkkkkkkke,like,1
23,likkkkkkkkkkkkke,like,1
24,llllllllllike,like,1
25,liiiiiike,like,1
26,likeeeeeeeeeeeeee,like,1
27,llllllllllllike,like,1
28,likeeeeeeeeeeee,like,1
29,lllllllllllllllike,like,1
30,likkkkkkkkkkkke,like,1
31,llllllllllllllike,like,1
32,likkkke,like,1
33,likkke,like,1
34,likkkkke,like,1
35,likkkkkke,like,1
36,likeeeeeeeeeeee,like,1
37,lllllllllllllike,like,1
38,llllllllllllllike,like,1
39,likeee,like,1
40,likeeeeeeeeeee,like,1
41,llike,like,1
42,lllllike,like,1
43,likkke,like,1
44,likkkkkkke,like,1
45,llllllllllike,like,1
46,llllllike,like,1
47,likee,like,1
48,likkkkkkkke,like,1
49,liiiiiiike,like,1
50,llllllike,like,1
51,llllllllllllllike,like,1
52,likkkkkke,like,1
53,likeeeeeeeee,like,1
54,liiiiiike,like,1
55,llllllike,like,1
56,likeeeeeeeeeeeeeee,like,1
57,likeeeeeeeeeeeee,like,1
58,likeeeeee,like,1
59,liiiiiiiiiiiiiike,like,1
60,liike,like,1
61,liiiiiiiiike,like,1
62,likeeeeeeeeeeeeee,like,1
63,likkkkkkkkkkkkkkke,like,1
64,likeeeeeeeeeeeeeee,like,1
65,lllllllllike,like,1
66,lllllllllllike,like,1
67,likeeeeeeeeeeeeeee,like,1
68,likkkkkkkkkkkkke,like,1
69,likkkkkkkkke,like,1
70,liiiiiike,like,1
71,likkke,like,1
72,llike,like,1
73,likeeeeeeeee,like,1
74,lllllike,like,1
75,likeeeeeeeeee,like,1
76,likkkkkkkkkkkke,like,1
77,likkkkkkkkkke,like,1
78,llllllllllllike,like,1
79,liiiiiiiiiike,like,1
80,liiiiike,like,1
81,likkkke,like,1
82,liiiiike,like,1
83,lllike,like,1
84,likeeeeeeeeeee,like,1
85,llike,like,1
86,lllllllike,like,1
87,llllllllllllike,like,1
88,liiiiike,like,1
89,likeeeeeeeee,like,1
90,likee,like,1
91,liiiiiiiiiiiiiiike,like,1
92,likkkkkkkke,like,1
93,liiiiiiiiiiiiike,like,1
94,likkkkke,like,1
95,likee,like,1
96,likkkkkkkkkkke,like,1
97,likeeeeeeeeeeeee,like,1
98,liike,like,1
99,likkkkkkkkkkkkke,like,1
100,llllllllllllllike,like,1
101,likkkkkkkkkkkke,like,1
102,likke,like,1
103,likeeeeeeeeeeeeee,like,1
104,likeee,like,1
105,liiiiiiiiiike,like,1
106,llllllllike,like,1
107,likkkkkkkke,like,1
108,likeeeeeee,like,1
109,llllllike,like,1
110,likeeeeeeee,like,1
111,llllllllllllllike,like,1
112,likeeeeeeeeeeee,like,1
113,lllllllllllike,like,1
114,llllike,like,1
115,lllllllllike,like,1
116,likeeeeeeeeee,like,1
117,liiiiike,like,1
118,lllllllllllllllike,like,1
119,likeeeee,like,1
120,likkkkkke,like,1
121,likeeeeeeeeeee,like,1
122,lllllllllllllllike,like,1
123,likeeeeeeeee,like,1
124,likkkkkkke,like,1
125,likeeeeeeeeeeeeee,like,1
126,lllike,like,1
127,liiiiiiiiiiiiiike,like,1
128,llllllllike,like,1
129,llllllllllllllike,like,1
130,liiiiiiiiiiiike,like,1
131,liiiiiiiiiike,like,1
132,likeeeeee,like,1
133,llike,like,1
134,likkkke,like,1
135,liiiiiiiiiiike,like,1
136,liiiiiike,like,1
137,liiiiiiiike,like,1
138,liiiiiiiiiiike,like,1
139,likeeeeeeeeeee,like,1
140,llike,like,1
141,likeeeeeeeee,like,1
142,likee,like,1
143,likeeeeeeeeeeeeeee,like,1
144,lllike,like,1
145,lllllllllllike,like,1
146,likeeeeeeeeeee,like,1
147,liiiiiiiiiiiiike,like,1
148,likee,like,1
149,lllike,like,1
150,likeee,like,1
151,llllllllllllllike,like,1
152,liike,like,1
153,liiiiiiiiiiike,like,1
154,liiiiike,like,1
155,likkkkkkkke,like,1
156,liike,like,1
157,likee,like,1
158,lllllllllllllllike,like,1
159,liiiiiiiiiike,like,1
160,llike,like,1
161,likeeeeeeee,like,1
162,lllike,like,1
163,likkkke,like,1
164,likkkkkkkkkkkkkkke,like,1
165,lllllllllike,like,1
166,llllllllllllike,like,1
167,liiiiiiiiiiiiiiike,like,1
168,likeeee,like,1
169,liiiiiiiike,like,1
170,likeeeeeeeeeeeeee,like,1
171,liiiike,like,1
172,lllllllike,like,1
173,likeeeeeeeeee,like,1
174,likeeeeeeeeeeeeee,like,1
175,liiiiiiiiiiike,like,1
176,llllike,like,1
