,emphasized,actual,sentiment
0,liiiiiike,like,1
1,llllllllllike,like,1
2,likeeeeeeeeeeeee,like,1
3,lllike,like,1
4,lllllllike,like,1
5,likeeeeeeeeeeee,like,1
6,likee,like,1
7,llllllllike,like,1
8,lllllllllllllllike,like,1
9,liiiiiike,like,1
10,liiiiiiiiiiiiike,like,1
11,liiiike,like,1
12,liike,like,1
13,lllllike,like,1
14,likkke,like,1
15,llllllllllllike,like,1
16,liiiiiike,like,1
17,lllllllllllllllike,like,1
18,liiiiiike,like,1
19,likkkkkkkkkkkke,like,1
20,likkkkkkkkkke,like,1
21,lllllllllllike,like,1
22,lllllllllllllllike,like,1
23,likkkkkke,like,1
24,liiiike,like,1
25,liiiiiike,like,1
26,likkkkkkkke,like,1
27,likkkkkkkkkkkkkkke,like,1
28,likkkkkkkkkkkkke,like,1
29,llllllllllike,like,1
30,likkkkkke,like,1
31,likeeeeeee,like,1
32,likeeeeeee,like,1
33,likeeeeeeeeeeeeee,like,1
34,liiiike,like,1
35,likkkkkkke,like,1
36,likeee,like,1
37,likeeee,like,1
38,liiiiiiiiiiiiike,like,1
39,llllike,like,1
40,lllllllllllllllike,like,1
41,lllllllllllllike,like,1
42,llllllike,like,1
43,likkkkkkke,like,1
44,likeeeee,like,1
45,likkkkkkkkke,like,1
46,likkkkkkkkkkkke,like,1
47,likee,like,1
48,likkkkkkkkke,like,1
49,llllllike,like,1
50,bbbbbbeautiful,beautiful,1
51,beeeeautiful,beautiful,1
52,beautifulll,beautiful,1
53,beautiffffffffffful,beautiful,1
54,beautiiiiiiiiiiiiiiful,beautiful,1
55,beauuuuuuuuuuuuuuutiful,beautiful,1
56,beautifullllllll,beautiful,1
57,beeeeeeeeeeeeeautiful,beautiful,1
58,beauuuuuuuutiful,beautiful,1
59,beauuuuuuutiful,beautiful,1
60,beautifuuuul,beautiful,1
61,beautiffffffffful,beautiful,1
62,beautiffffful,beautiful,1
63,beaaaaaaaaaaautiful,beautiful,1
64,beauuuutiful,beautiful,1
65,beauuuuuuuuuuuuuutiful,beautiful,1
66,bbbbbbbbbbbeautiful,beautiful,1
67,beautiffffffful,beautiful,1
68,bbbbbbbbbbbbbbbeautiful,beautiful,1
69,beautifullllll,beautiful,1
70,bbbbbbbbbbbeautiful,beautiful,1
71,beautifulllll,beautiful,1
72,beaaautiful,beautiful,1
73,beautifuuuuuuuuuuuul,beautiful,1
74,beautifullllllll,beautiful,1
75,bbbbbbbbbbbbbbeautiful,beautiful,1
76,beeeeeeeeeeeautiful,beautiful,1
77,beautifuuuuul,beautiful,1
78,beeeeeeeeeeautiful,beautiful,1
79,beautttttttiful,beautiful,1
80,beautiiiiiiiful,beautiful,1
81,beautifuuuuuuuuuuuuuuul,beautiful,1
