,emphasized,actual,sentiment
0,lllllllllllike,like,1
1,liiiiike,like,1
2,liiiiiiiiiiiiiiike,like,1
3,liike,like,1
4,liiiiiiiiiiiiike,like,1
5,likeeeeeeeeeeeee,like,1
6,liiiiike,like,1
7,likkkkkkkkkkkkkke,like,1
8,likeeeeeeeeeeeee,like,1
9,likkkkkkkkkkkkkkke,like,1
10,lllllllllike,like,1
11,liiike,like,1
12,likeeeeeeee,like,1
13,likeeee,like,1
14,llllllllllllike,like,1
15,likkkkkkkkkkkke,like,1
16,likeeeeeeeeee,like,1
17,likee,like,1
18,llllike,like,1
19,likkkkkkkke,like,1
20,likee,like,1
21,liiiiiiiiike,like,1
22,llllllllllllike,like,1
23,lllike,like,1
24,liiiiiiiike,like,1
25,llllike,like,1
26,likee,like,1
27,liiiiiiiiiiiiiiike,like,1
28,likkkkkkkkkkkke,like,1
29,liiiiike,like,1
30,likkkkkkkke,like,1
31,liiiiiiiiike,like,1
32,likeeeeee,like,1
33,liike,like,1
34,likeeeeeeeeeeeeee,like,1
35,liiiiiiiike,like,1
36,lllllllllllike,like,1
37,likeeeeeeeeeeeeeee,like,1
38,likkke,like,1
39,likkkkkkkkkkkke,like,1
40,likkkkkkkkkkkke,like,1
41,lllllllllllllllike,like,1
42,liiiiiiike,like,1
43,lllllllllllllike,like,1
44,lllllllllllike,like,1
45,likeeeee,like,1
46,liiiiiiiiike,like,1
47,likeeeeeeeeeeee,like,1
48,likeeee,like,1
49,llllllllike,like,1
50,liiiiiiiiiike,like,1
51,likeeee,like,1
52,lllllllllllike,like,1
53,lllllllllllllllike,like,1
54,liiike,like,1
55,liiiiiiiiiiiiiiike,like,1
56,lllllllllllllike,like,1
57,likeeeeeeeeeeeeeee,like,1
58,liike,like,1
59,likeeeeeeeeeeeee,like,1
60,likkkkke,like,1
61,likeeeeeeeeee,like,1
62,likeeeeeeeeeeee,like,1
63,likkkkkkkke,like,1
64,likeeeeeeeeee,like,1
65,lllllike,like,1
66,likeeeeeeeeee,like,1
67,likeeeeeeeeeeeeee,like,1
68,likkkkkkkkkkkkkkke,like,1
69,liiiiiiiiiiiiiiike,like,1
70,likkkkkkke,like,1
71,liiiiiike,like,1
72,liiiiiiiiiiike,like,1
73,likkkke,like,1
74,likeee,like,1
75,likkkkkkke,like,1
76,liiiiiiiiike,like,1
77,liike,like,1
78,llllllllllllike,like,1
79,liike,like,1
80,liiike,like,1
81,llllllllllllllike,like,1
82,likkkkkkkkkkkkke,like,1
83,likkkkkkkke,like,1
84,liiiiiiiiiiiike,like,1
85,liiike,like,1
86,lllllike,like,1
87,liiiiiiiiiiiiiiike,like,1
88,likeeee,like,1
89,llllllike,like,1
90,liiiiike,like,1
91,liiiiiiiiiike,like,1
92,likeeeeeeeeeee,like,1
93,liiiiiiiiiiike,like,1
94,likkkkkkkkkke,like,1
95,likeeeee,like,1
96,liike,like,1
97,llllllike,like,1
98,llllllllllllike,like,1
99,likeeeeeeeee,like,1
100,llllllllllike,like,1
101,likeee,like,1
102,likkkkkkkkkkke,like,1
103,likeeeee,like,1
104,liiiiiiiiiiiiiike,like,1
105,likke,like,1
106,liiiiiiiike,like,1
107,llllike,like,1
108,likeee,like,1
109,lllike,like,1
110,liiiiiiiiike,like,1
111,likeeeeeeeee,like,1
112,likeeeeeeeeeee,like,1
113,likkkkke,like,1
114,liiiiiike,like,1
115,likeeeeeeeeeeeee,like,1
116,likkkkkkkkkkkkke,like,1
117,likeeeeee,like,1
118,llllllllllllllike,like,1
119,liiiiiike,like,1
120,lllllllllllike,like,1
