,emphasized,actual,sentiment
0,likkkkkkke,like,1
1,liiiiiiiiiiiike,like,1
2,likeeeeeeeeeeeee,like,1
3,llllllike,like,1
4,likkkkkkkke,like,1
5,llllllllllllike,like,1
6,likkkkkkkkke,like,1
7,liiiiiiiiiiiike,like,1
8,likeeeee,like,1
9,likkkkkkkkkkkkke,like,1
10,llllllllllike,like,1
11,llllike,like,1
12,likkke,like,1
13,liike,like,1
14,likeeeeeeeeeeeee,like,1
15,liiike,like,1
16,likeeeeeeeeeeeee,like,1
17,likkkkke,like,1
18,likkkkkkkkkkkke,like,1
19,llike,like,1
20,liiiiiiiiiiiiiike,like,1
21,likeeeeeeeee,like,1
22,likke,like,1
23,liiiiiiiiiiiike,like,1
24,liiiiiiiike,like,1
25,llllike,like,1
26,likkkkkke,like,1
27,lllllike,like,1
28,likkkkke,like,1
29,liiiiike,like,1
30,likkkkkkkkkke,like,1
31,liiiiiiiike,like,1
32,llllllllllllike,like,1
33,likeeeeeeeeeee,like,1
34,liike,like,1
35,llllllike,like,1
36,lllllllllllike,like,1
37,liiike,like,1
38,llllike,like,1
39,likkkke,like,1
40,likeeeee,like,1
41,lllllike,like,1
42,likkkkkkke,like,1
43,likkkkkkkkkke,like,1
44,likkkkke,like,1
45,liiiiiiike,like,1
46,llike,like,1
47,liiiike,like,1
48,likkkkkkkkkkkkkke,like,1
49,liike,like,1
50,lllllllllike,like,1
51,lllllllllike,like,1
52,likkkkkkkkkkkkkke,like,1
53,lllllllllllllike,like,1
54,likkkkkkkkke,like,1
55,likkkkkkkkkkkke,like,1
56,likkkke,like,1
57,likkkkkkkkkkkkke,like,1
58,liiiiiiiike,like,1
59,liiiiiiiiiiiiiiike,like,1
60,likkkkkkkkke,like,1
61,likeee,like,1
62,likeeee,like,1
63,liiiiiike,like,1
64,lllllllike,like,1
65,liiiiiiiiike,like,1
66,likkkkkkkkkkkke,like,1
67,likkkkkke,like,1
68,lllike,like,1
69,likkkke,like,1
70,likeeeeee,like,1
71,llllllllike,like,1
72,likkkkkkkkkkke,like,1
73,llllllllllike,like,1
74,liiiiike,like,1
75,liiiiiiiiiiike,like,1
76,likeeeeee,like,1
77,likkkkkkkke,like,1
78,likkkkkkkkkkkkkkke,like,1
79,likkkkkkkkkke,like,1
80,liiiiiiiiiiike,like,1
81,liiiiiike,like,1
82,likeeeeeeee,like,1
83,lllllllllllllike,like,1
84,liiiiiiiiike,like,1
85,likkkkkkkke,like,1
86,liiiiiiiiiiiike,like,1
87,liiiiiiiiiiiiike,like,1
88,likkkkkkkkkkke,like,1
89,likkkkkkkkkkkkkke,like,1
