,emphasized,actual,sentiment
0,likeeeeeeeeee,like,1
1,lllllike,like,1
2,likkkkkkkkkke,like,1
3,liiiike,like,1
4,likkkkkkkkkkkke,like,1
5,likkkkkkkkkkkke,like,1
6,likkke,like,1
7,liiiiiiiike,like,1
8,liiiiiiiiike,like,1
9,likeeeeeeeeeeeeee,like,1
10,liiiiiiiike,like,1
11,llllllllllllllike,like,1
12,liiiiiiiiiike,like,1
13,likee,like,1
14,likeeeee,like,1
15,liike,like,1
16,likkkkkkkkkkkkkkke,like,1
17,likeeeeeeee,like,1
18,llllllllike,like,1
19,likeeeeeeeeee,like,1
20,liiiiike,like,1
21,likeeeeeeeeeeeeeee,like,1
22,lllike,like,1
23,likeeeeeee,like,1
24,likeeeee,like,1
25,lllllllllllllike,like,1
26,likkkkkkkkkkkkkkke,like,1
27,liiiiiiiiike,like,1
28,lllllllllllllike,like,1
29,llike,like,1
30,likkkke,like,1
31,llllllllike,like,1
32,likeeeeeeeeeeeee,like,1
33,likeeeeeeeeee,like,1
34,likeeeeeee,like,1
35,likeeeeeeeeeeeeeee,like,1
36,llllllllike,like,1
37,llllllllike,like,1
38,likke,like,1
39,llllike,like,1
40,likeeee,like,1
41,liiiiiike,like,1
42,lllllllllllllike,like,1
43,likkkkkkkkkkkke,like,1
44,lllike,like,1
45,lllllllike,like,1
46,likkkkkkkkkke,like,1
47,liike,like,1
48,liiiiiiiiiiike,like,1
49,likeeeeeeeeeeeeee,like,1
50,likeeeeee,like,1
51,liiiike,like,1
52,likkkke,like,1
53,likee,like,1
54,lllllike,like,1
55,liiiiiiiiiiiiiike,like,1
56,likeeeeeeeeeee,like,1
57,likkkkkkkkke,like,1
58,likeeeeeeeee,like,1
59,llllllllike,like,1
60,likkkkkkke,like,1
61,llike,like,1
62,likkkkkke,like,1
63,llllike,like,1
64,likkkkkkkkkke,like,1
65,likkkkkke,like,1
66,likeeeeee,like,1
67,likeeeeeeeeeeeeeee,like,1
68,llllike,like,1
69,llike,like,1
70,liiiiiiiike,like,1
71,liiiiiiiiiiiiike,like,1
72,liiiiiiiiiiiike,like,1
73,likeee,like,1
74,llllllllllike,like,1
75,likkkkkkkkkkkkkkke,like,1
76,liiiiiiiiiiiike,like,1
77,liiiiiike,like,1
78,llike,like,1
79,lllllllllllllike,like,1
80,liiiiiiiiike,like,1
81,liiiiike,like,1
82,likee,like,1
83,llllllllllike,like,1
84,lllllllllllllike,like,1
85,liiiiiike,like,1
